"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
2012-01-01,"Top1",6512073,0.32904105969032,19791065,2478121,3215722,613786,2192935,5075360,0.13115638152,0.124367901002923,0.064942160436555,-0.0188481673345006,-0.70779055760597,0.0992973816960444,1.06281630201718
2012-04-01,"Top1",6276702,0.317438567385389,19772966,2518499,3303611,607315,2181019,5270950,-0.033485928895,-0.0368131554110871,0.124367901002923,-0.00467770354239773,-0.175658160277938,-0.0635081578068483,-0.679751110002198
2012-07-01,"Top1",6671939,0.326163041947923,20455840,2566075,3427584,602947,2215918,5332166,0.0617152280180002,0.0610658390287675,-0.0368131554110871,-0.0020337541125319,-0.0763719852331483,0.0387769390710621,0.415043803604074
2012-10-01,"Top1",6724460,0.324810177281865,20702738,2608031,3494072,590460,2338588,5185651,0.00174546009600007,0.00784110253732528,0.0610658390287675,0.00491003237689803,0.184382624168808,-0.0171234522748075,-0.183278591173604
2013-01-01,"Top1",7586668,0.350278806336838,21658941,2694613,3547679,589814,2333675,4930431,0.112409163584,0.120640871470806,0.00784110253732528,0.000492930941712768,0.0185106519856436,0.0971312869041686,1.03963179486102
2013-04-01,"Top1",7687824,0.351939911751153,21844138,2785246,3745087,586209,2348091,4426569,0.0315083584,0.0132452822490379,0.120640871470806,-0.0247993322308018,-0.931270020919515,-0.0133478367475602,-0.142866793158717
2013-07-01,"Top1",8109006,0.359225121552362,22573605,2874403,3933080,579379,2400236,4277031,0.0666195056450001,0.0533375172947874,0.0132452822490379,-0.0175022130584256,-0.657246984288287,0.0296802021577386,0.31767809142209
2013-10-01,"Top1",8679685,0.372222808308589,23318520,2922641,4059474,603826,2449150,4107470,0.104278992047,0.068009941810411,0.0533375172947874,-0.0455458568002883,-1.71034811020113,0.0432566511380708,0.462991805171063
2014-01-01,"Top1",9205584,0.383193041406075,24023359,2989461,4099220,614208,2530705,4091258,0.0162038473839998,0.0588250187619561,0.068009941810411,0.0399044758995365,1.49850172415478,0.0336706374970315,0.36038918468866
2014-04-01,"Top1",9766544,0.392458040451145,24885575,3065497,4293539,626981,2546608,4109914,0.0451483406,0.0591524110959547,0.0588250187619561,0.00934337477032912,0.350864480415969,0.0342491121401893,0.366580810998945
2014-07-01,"Top1",9627985,0.384272034052271,25055128,3137329,4487127,629078,2610748,4098214,0.00122299011200022,-0.0142887055854253,0.0591524110959547,-0.016561245484597,-0.6219115613822,-0.0392009542539741,-0.41958219365026
2014-10-01,"Top1",10021156,0.390025983164653,25693560,3193588,4655303,640419,2669778,4008852,0.05081688872,0.0400244963000205,-0.0142887055854253,-0.0123706647054262,-0.464545943083972,0.0171198600051751,0.18324014179396
2015-01-01,"Top1",10279854,0.391446140625139,26261222,3264281,4799147,651632,2769341,3994889,0.0169844633299998,0.0254875993278638,0.0400244963000205,0.00708099029635196,0.265906917171914,0.00109823811204893,0.0117548453850992
2015-04-01,"Top1",10358069,0.389621446053926,26584956,3353518,5007974,669158,2800972,3850054,0.0041816813840001,0.00757977190564318,0.0254875993278638,0.00373903745145558,0.140409163167347,-0.0164122035465106,-0.175665835123934
